before,output,after,MITI-code,source
わからない。,カウンセリングの勉強に取り組む気が起きないと感じているのですね。以前は同じ会社の人と一緒に学んでいたり、講習会に参加したりしていたが、最近は部署が変わり、勉強する機会が減ってしまったということですね。以前は勉強が役立って楽しかったが、現在はそのような環境がなくなってしまったため、やる気が出なくなっているということですね。,,6,case2!.csv
わからない。,前はカウンセリングの勉強が役に立ち、会社の人と一緒にすることが楽しかったですが、現在は環境が変わり、勉強することへのモチベーションが低下しているようです。それでも、以前の経験を思い出して再度挑戦しようと思うことがあり、今日もこうして参加しているということですね。,,6,case2!.csv
わからない。,勉強を続けたいという思いはあるものの、会社での使用機会がないため、やらなくてもいいのではという気持ちがあるということですね。役に立たないかもしれないという思いもある一方で、やった方がいいと感じる気持ちが少し大きいということですね。楽しく勉強できる環境があれば、もっと前向きになれるかもしれません。,,6,case2!.csv
わからない。,勉強に取り組むまでが難しいと感じているが、以前は会社の人と一緒だったため、モチベーションを保つのが容易だったということですね。現在はそのようなサポートがないため、勉強への気持ちが明るくなりにくいと感じています。しかし、今後この会を通じて良い関係ができ、楽しく参加できるかもしれないという希望もあるようです。,,6,case2!.csv
わかりました。とにかくわかりました。,息子さんが何度も中耳炎を繰り返していることは、あなたにとっても息子さんにとっても大きなストレスですね。タバコの煙が子どもの耳感染のリスクファクターの一つであることを考慮すると、あなたが喫煙していることが関連している可能性があります。息子さんの周りで吸わないように気をつけているというあなたの努力は理解していますが、それでもタバコの影響は考慮に入れなければならないかもしれません。,,6,case3.csv
わかりました。とにかくわかりました。,息子さんの健康を守るために、そしてあなた自身の健康のためにも、タバコをやめることを真剣に考える時期に来ているようです。タバコを吸うことの影響は中耳炎だけに留まらず、他の多くの健康リスクも伴います。あなたが禁煙することは、息子さんを喫煙者に育てないためにも重要です。,,6,case3.csv
わかりました。とにかくわかりました。,あなたが禁煙しようとしていること、そしてそれが非常に難しいことを理解しています。しかし、息子さんの健康のためにも、あなた自身のためにも、禁煙は避けられない道です。肺がんや心疾患など、喫煙によるリスクは非常に高く、今がやめる時です。,,6,case3.csv
わかりました。とにかくわかりました。,あなたが禁煙する方法についてわからないというのは理解しています。しかし、禁煙を支援する多くの方法があります。ニコチン代用品や経口禁煙薬、禁煙グループへの参加など、さまざまなオプションがあります。時間がないと感じるかもしれませんが、これはあなたと息子さんの健康のために非常に重要なことです。,,6,case3.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,朝の時間に間に合わせようとする努力をされていたのですね。何か特別なことがあったわけではなく、ただ時間に追われていたということで、そのような状況にも関わらず、最善を尽くそうとされたことは称賛に値します。,そうですね。すみません。,5,case7.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,時間管理に関して少し困っているようですね。特に大きな問題があったわけではないけれど、朝の時間に間に合わせることが難しかったということが理解できます。日常生活での小さな挑戦にも前向きに取り組んでいることは、とても良いことだと思います。,そうですね。すみません。,5,case7.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,今朝は少し遅れてしまったようですね。しかし、そこから立ち直って、ここに来るまでの時間を有意義に使おうとした姿勢が素晴らしいです。,そうですね。すみません。,5,case7.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,今朝は時間に間に合わせるのが難しかったと聞きましたが、そういった時にどのように対応するかも大切ですね。自分自身を律する力が身についているようで、それはとても大切なことです。,そうですね。すみません。,5,case7.csv
いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,大丈夫ですよ。たまにはそういう日もありますからね。無理せず、自分のペースで行きましょう。,そうですね。すみません。,5,case7.csv
そうですね。目覚ましをたくさんかけたり、夜は早めに負担に入るようにしたり...,あなたが時間管理を改善しようとする努力をしていることがわかります。目覚ましを複数設定したり、早めに休むよう努めたりと、具体的な対策を講じているのは素晴らしいですね。,そうですね。ただ、難しいですよね,5,case7.csv
そうですね。目覚ましをたくさんかけたり、夜は早めに負担に入るようにしたり...,早寝早起きを心がけることは、健康にも良い影響をもたらします。そのような生活習慣を実践しようとするあなたの姿勢は、とても素晴らしいです。,そうですね。ただ、難しいですよね,5,case7.csv
そうですね。目覚ましをたくさんかけたり、夜は早めに負担に入るようにしたり...,朝の時間に間に合わせるために、目覚ましを複数設定したり、早めに就寝するなど、具体的な対策をしていることは素晴らしいです。そのような努力は、日々の生活の質を高めるために重要ですね。,そうですね。ただ、難しいですよね。,5,case7.csv
はい。せっかくなので、大胆に時間を取ってみようと思います。本当に、来年度も今の職場で働き続けるというのは、自分にとって良いことではないと思うので。,その決断力、すごいですね。自分のキャリアに真剣に向き合って、積極的に時間を割く姿勢は、すばらしいです。,実際どうなるかはわからないですけどね。計画的に進められるといいとは思います。,5,case7.csv
うぅん...たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,早起きができる日は、あなたがリラックスしているか、前の夜に十分な休息をとれている証拠かもしれません。自然と起きられることは、良い睡眠習慣の兆しですね。,そうなんですよ...逆に起きられない時は、寝るのが遅いのかもしれません。,5,case7.csv
うぅん...たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,あなたがたまたま早起きできたり、意識せずに起きられる日があるということは、その日の体調や心の状態が良好であることを示しているかもしれませんね。それは、健康的な生活リズムを維持している良い兆しです。,そうなんですよ...逆に起きられない時は、寝るのが遅いのかもしれません。,5,case7.csv
でも私にできるのかわからない,大切な人のために変わろうと思うその気持ち、とても素晴らしいですね。自分自身と向き合う勇気を持って、一歩ずつ進めていくことが大事です。,ええ,5,case3.csv
そうですね。目覚ましをたくさんかけたり、夜は早めに負担に入るようにしたり...,そうですね、夜早く寝る努力や目覚ましをかける工夫、いいですね。ちょっとずつでも、そういう努力が結果につながると思いますよ。,そうですね。ただ、難しいですよね。,5,case7.csv
うぅん...たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,意識していなくても起きられる日があるんですね。それは素晴らしいことです。寝る時間と起きる時間の関係に気づくのも、大切な一歩ですね。,そうなんですよ...逆に起きられない時は、寝るのが遅いのかもしれません。,5,case7.csv
ですね。まずはあれ(禁煙サポートプログラム)に申込んでパッチをもらうところから始めてみようかなっと。,タバコをやめたいという意志があることが伺えます。しかし、タバコをやめることで体重が増加することに対する不安が大きいようですね。過去に禁煙に成功した経験から、食事の量が増えることを経験しているため、それが再び起こるかもしれないという心配があるようです。,,6,case8!.csv
ですね。まずはあれ(禁煙サポートプログラム)に申込んでパッチをもらうところから始めてみようかなっと。,タバコをやめた時の食事の美味しさを感じることについては、一つの課題となっています。食事がより美味しく感じられるために、過食傾向になる可能性があるということですね。しかし、現在の食事量が減っていることは、タバコをやめた際の体重増加のリスクを減らすことにつながりそうです。,,6,case8!.csv
ですね。まずはあれ(禁煙サポートプログラム)に申込んでパッチをもらうところから始めてみようかなっと。,ニコチンパッチを使用することについて、前向きに考えているようです。パッチを使用することで、禁煙に挑戦し、同時に体重管理にも気をつけることが重要になりそうです。体重の増加を恐れることなく、健康的な方法で禁煙に取り組むことができれば、長期的に見て健康に良い影響を与えることになるでしょう。,,6,case8!.csv
ですね。まずはあれ(禁煙サポートプログラム)に申込んでパッチをもらうところから始めてみようかなっと。,禁煙に向けての第一歩として、禁煙サポートプログラムに申し込み、ニコチンパッチを試すことを決めたのは素晴らしいことです。食事量の管理にも注意しながら、禁煙に成功するための支援を得ることが重要です。この取り組みは、あなたの健康改善に大きく貢献することになるでしょう。,,6,case8!.csv
