NO,dialogue,MITI_code,target
Co31,それでは、1日1時間転職に向けた活動の時間を確保することに対する自信度は10点満点でいうとどれくらいでしょうか？0点が自信度ゼロ。10点は、「絶対できる」だとすると。,4,
Cl31,そうですね。1時間となると、なかなか難しそうですが…でも何とかなりますかね。まぁ、6点か7点ぐらいでしょうか。,7,
Co32,だいぶ自信度も高そうですね。,2,
Cl32,そうですね。無理ではないと思います。,7,
Co33,具体的には、どんな風にすることができそうですか？,3,
Cl33,曜日によって業務内容は変わってくるのですが、月、火、木は1日開発の仕事をしていて、木曜日は英会話に通っているので、その前の時間ですかね。月、火は、簡単な書類作成なら、休憩時間などに出来ると思います。水と金は、ミーティングが多くなるので、なかなか日中行うのは難しいですね。この日は退勤後かなと思います。,7,
Co34,だいぶ具体的に考えられていますね！それでは、先ほどは1日1時間とることの自信度は6点か7点ということでしたが、これを、もう少し上げるとすると、何があると上がってきそうですか？,3,
Cl34,そうですね…月、火の仕事中に突発的な業務が発生した時や、水、金に疲れて帰宅したときなんかが難しいと思います。この辺りの対処法を見つけることができれば、自信度は高まると思います。,7,
Co35,月、火に日中に出来なかった場合にどうするかということと、水、金に疲れて帰宅したときにどうするかということですね。,1,
Cl35,はい。いずれも帰宅してしまうと、なかなか作業の時間が取れないことが多いので、帰宅前にやれるといいですかね。例えば、水、金や月、火で日中に1時間取れなかったときには、帰宅途中でカフェやレストランによって1時間作業をして帰るとか。,7,
Co36,いいですね！そのような工夫をすると、1日1時間転職のための活動をすることに対する自信度は、10点満点でどれくらいになりますか？,4,
Cl36,8，9割出来るのではないでしょうか。100％というのは難しいと思ので、これくらいなら十分かと思います。,7,
Co37,1日1時間時間を使うと意識して、過ごし、場合によっては、帰宅途中にカフェやレストランによることで、8，9割はこの目標を達成できそうだということですね。,1,
Cl37,はい。,7,
Co38,今日は初めは転職に向けたやる気をどのように高めるかという話でしたが、気持ちの問題というよりも、いかに現在の仕事と転職活動を両立させるかが大事ということから、1日1時間と時間を決めて、転職活動に時間を使うといいのではないかという方向で話を進めてきましたね。Aさんは、今日のように時間を取れば、冷静に、客観的に、問題を分析して対処法を考える力がある方だと感じました。今日話し合ったような方向で進めていけると、来年度の転職の可能性は確実に高まるだろうと思います。実際エージェントからもこのまま続けてみてはと言われているということなので、今進まれている方向性は間違いではないのではないかと思います。,6,
Cl38,はい,0,
Co39,このように本日は話をしてきましたが、いかがでしたか？,3,
Cl39,本当にやる気が無くて転職のことを考えるだけで憂うつでしたが、このままではいけないと改めて思えたし、じゃあ具体的に何をしていけばいいのかということも明確になったので、今はとても前向きで、気持ちも軽くなりました。まだ時間はあるので、まずはこの方向で継続してみたいと思います。,7,
Co40,そうですね。もう少しやってみて、またうまくいかないようであれば方針を修正するということでいいのではないかと思います。他に何か今日話し合っておいた方がいいことはありますか？,4,
Cl40,いいえ。大丈夫です。,0,
Co41,わかりました。それでは、今日はこれで面談を終えたいと思います。またいつでもご連絡ください。本日はありがとうございました。,0,
Cl41,ありがとうございました。,0,
